City,State,Median_Age,Male_Population,Female_Population,Total_Population,NumberofVeterans,Foreign_born,Average_Household_Size,State_Code,American_Indian_and_Alaska_Native,Hispanic_or_Latino,White,Asian,Black_or_African_American
Overland Park,Kansas,38.2,93355,93156,186511,10461,21407,2.41,KS,1264,10104,161153,17123,10685
Oxnard,California,31,101906,105346,207252,6367,78678,4.08,CA,6241,154911,165423,18249,7183
Palatine,Illinois,38,36506,32763,69269,2629,21760,2.69,IL,,18626,46246,8145,1822
Palm Bay,Florida,40.7,51767,56128,107895,10942,12070,2.82,FL,1603,16841,84328,1124,20891
Palm Coast,Florida,48.8,39489,42632,82121,7950,9084,2.76,FL,700,8706,67272,2479,10786
Palmdale,California,32.6,76361,81989,158350,6388,41974,3.54,CA,2800,87452,73480,10981,27398
Palo Alto,California,40.2,31451,35397,66848,2025,23348,2.55,CA,556,3496,43019,24055,1049
Paradise,Nevada,37.2,122784,114162,236946,14112,66712,2.65,NV,4314,88347,147624,28380,25091
Parma,Ohio,40.8,38425,41518,79943,5028,6909,2.42,OH,876,5361,76282,974,2928
Pasadena,California,37.6,67712,74534,142246,4618,40779,2.63,CA,2161,52717,76525,22794,15909
Pasadena,Texas,31.5,78827,74959,153786,5735,38072,2.95,TX,1993,105871,140240,1570,6204
Pasco,Washington,28.6,35298,32799,68097,2052,16265,3.45,WA,1054,38883,55741,2215,2265
Passaic,New Jersey,30.4,36505,34577,71082,693,24174,3.56,NJ,,53680,30352,3338,5230
Paterson,New Jersey,34,70640,77117,147757,1694,49810,3.37,NJ,1083,85555,54885,9653,45858
Pawtucket,Rhode Island,39.2,36072,35511,71583,3173,17884,2.41,RI,1359,16117,47614,2150,15513
Pearland,Texas,33.9,52336,59329,111665,5621,16882,3,TX,851,26460,73349,14683,23779
Pembroke Pines,Florida,40.3,77050,89574,166624,6849,62210,2.94,FL,1076,60519,113624,12910,34507
Peoria,Arizona,36.9,80139,91103,171242,13019,14260,2.97,AZ,3108,41129,151232,6631,8514
Peoria,Illinois,33.1,56229,62432,118661,6634,7517,2.4,IL,1343,6874,77074,6989,36333
Perris,California,26.9,41623,33336,74959,1321,23277,4.78,CA,,54398,23882,3341,9393
Pharr,Texas,26.9,35242,41293,76535,1376,25532,3.67,TX,,72995,73694,,204
Philadelphia,Pennsylvania,34.1,741270,826172,1567442,61995,205339,2.61,PA,17500,219038,688130,122721,691186
Phoenix,Arizona,33.8,786833,776168,1563001,72388,300702,2.89,AZ,41748,669914,1161455,66403,132939
Pine Hills,Florida,29.2,35344,40737,76081,2594,20735,3.3,FL,,10496,10029,2209,57089
Pittsburg,California,34.5,33309,36118,69427,2109,21043,3.15,CA,2253,28605,25996,13981,14931
Pittsburgh,Pennsylvania,32.9,149690,154695,304385,17728,28187,2.13,PA,2689,9266,208863,21227,82248
Plano,Texas,38.1,138565,145054,283619,11719,74030,2.65,TX,3771,42959,195220,59958,25217
Plantation,Florida,40.6,42881,49674,92555,4037,27902,2.73,FL,,26401,66970,3954,19670
Pleasanton,California,41.3,36662,42857,79519,2424,23208,2.87,CA,608,7949,49934,27662,1919
Plymouth,Minnesota,38.4,39035,36893,75928,4158,8830,2.46,MN,760,3274,63872,5561,6938
Poinciana,Florida,34.2,38142,35801,73943,2933,14349,3.93,FL,1593,37382,45622,1409,24750
Pomona,California,32.1,74945,78307,153252,3251,53879,3.63,CA,3866,108787,94296,17646,10774
Pompano Beach,Florida,42.5,56569,51202,107771,5145,32733,2.55,FL,2138,23225,67360,1089,38653
Ponce,Puerto Rico,40.5,56968,64615,121583,,,,PR,,120705,,,
Port Saint Lucie,Florida,42.1,84069,95341,179410,12416,34003,2.91,FL,1536,34240,135049,7967,32986
Portland,Maine,40.3,31480,35392,66872,3666,9229,2.13,ME,662,2031,59722,3696,5750
Portland,Oregon,36.7,313516,318671,632187,29940,86041,2.43,OR,15314,61064,524258,64386,45914
Portsmouth,Virginia,33.6,45900,50301,96201,10261,1815,2.54,VA,1584,3896,43004,1785,52972
Providence,Rhode Island,29.9,89090,90114,179204,4933,53532,2.72,RI,4171,77968,97885,13432,30638
Provo,Utah,23.6,56231,59027,115258,2177,10925,3.28,UT,1916,16668,108471,4104,1062
Pueblo,Colorado,37.6,55635,53784,109419,7989,3578,2.44,CO,7306,57579,86097,2468,4107
Quincy,Massachusetts,41,44129,49500,93629,4147,32935,2.39,MA,351,2566,58723,30473,3917
Racine,Wisconsin,33.7,39314,38423,77737,4650,4403,2.56,WI,1371,18215,52445,1175,20014
Raleigh,North Carolina,32.8,219184,232765,451949,16747,65125,2.42,NC,3955,51786,275892,24865,138242
Rancho Cordova,California,33.8,34844,36182,71026,4590,17020,2.86,CA,1940,13970,47757,12653,9307
Rancho Cucamonga,California,34.5,88127,87105,175232,5821,33878,3.18,CA,2789,65823,111832,24519,24437
Rapid City,South Dakota,39.5,36122,37446,73568,7429,2375,2.31,SD,9159,2971,63983,2170,2217
Reading,Pennsylvania,29.4,43668,44205,87873,2580,17043,2.95,PA,9671,57032,64401,903,20821
Redding,California,38.8,42530,49049,91579,6926,5181,2.42,CA,4352,9143,81244,5271,2112
Redlands,California,36.2,33993,37035,71028,3445,8681,2.82,CA,811,19698,55241,6255,6973
Redondo Beach,California,43,34855,33330,68185,3014,13536,2.34,CA,1007,8858,53811,13118,2234
Redwood City,California,37.1,42676,42624,85300,2430,27652,2.64,CA,664,29011,51019,14873,2758
Reno,Nevada,35.7,122292,119151,241443,17089,37070,2.46,NV,3872,59902,197335,20681,9427
Renton,Washington,36.3,52779,47468,100247,5032,28962,2.57,WA,2338,15392,58251,22550,12265
Rialto,California,31.6,49902,53235,103137,2036,32741,3.83,CA,1065,78571,74551,4103,11800
Richardson,Texas,35.5,54676,56151,110827,4797,29579,2.83,TX,1439,15762,76116,20724,13256
Richmond,California,35.3,52615,57100,109715,3611,42215,2.87,CA,2348,45132,36074,20082,27434
Richmond,Virginia,33.6,104793,115496,220289,12538,15741,2.29,VA,4902,14259,104568,6626,109722
Rio Rancho,New Mexico,38.3,47251,46904,94155,8527,5200,2.86,NM,4857,38674,73022,2374,3970
Riverside,California,31.4,160613,161810,322423,12373,69584,3.34,CA,5338,160697,225157,27675,26147
Riverview,Florida,32.2,44210,45536,89746,6943,12240,3.22,FL,726,23317,60793,3582,15159
Roanoke,Virginia,36.9,47252,52645,99897,6567,7346,2.35,VA,594,6091,68761,3237,30920
Rochester,Minnesota,35,54934,57282,112216,6888,17763,2.55,MN,1172,6617,93477,9839,9425
Rochester,New York,31.4,100135,109673,209808,7288,17735,2.36,NY,4856,38004,105636,8748,93072
Rochester Hills,Michigan,41.2,36356,37076,73432,3053,13708,2.66,MI,348,3395,62170,8092,3514
Rock Hill,South Carolina,34.5,33324,38243,71567,4755,2413,2.29,SC,610,2845,41652,1073,28204
Rockford,Illinois,36.3,71076,78270,149346,8894,18323,2.52,IL,2301,28923,107148,5500,33122
Rockville,Maryland,38.1,31205,35793,66998,1990,25047,2.6,MD,594,9197,41692,17370,7533
Roseville,California,38.4,62591,67691,130282,8386,18161,2.72,CA,2635,23499,103853,18171,4413
Roswell,Georgia,38.8,48637,45859,94496,3325,16501,2.7,GA,585,16920,69857,7240,15458
Round Rock,Texas,34.9,56646,59193,115839,6804,18237,3.13,TX,1551,37151,92278,9685,13636
Sacramento,California,33.7,237724,252991,490715,19698,112579,2.73,CA,10145,150153,268151,105063,77439
Saint Charles,Missouri,34.9,32054,36747,68801,4371,5274,2.33,MO,681,4070,58662,3392,6842
Saint Cloud,Minnesota,30.7,34311,33942,68253,5012,5757,2.41,MN,1169,2639,59794,2494,6401
Saint George,Utah,37.3,38732,41475,80207,4443,4824,2.81,UT,2406,10829,71915,1649,1376
Saint Joseph,Missouri,35.7,37688,38408,76096,5846,3755,2.58,MO,1018,5400,68293,1271,6964
Saint Louis,Missouri,35,153026,162659,315685,17060,21802,2.16,MO,2746,12261,155574,12209,151030
Saint Paul,Minnesota,31.5,149547,151293,300840,10548,56514,2.58,MN,6858,27307,191369,58174,54665
Saint Petersburg,Florida,41.8,123524,133564,257088,20247,28567,2.42,FL,2716,20483,179121,10893,67798
Salem,Oregon,35.4,80839,83704,164543,9685,19668,2.69,OR,7678,39414,148650,6076,3770
Salinas,California,30.4,77765,79621,157386,4020,58693,3.72,CA,2855,121196,95283,11227,3391
Salt Lake City,Utah,32.1,98364,94296,192660,6829,32166,2.38,UT,3488,40559,150136,13153,5365
San Angelo,Texas,32.8,49669,50744,100413,8412,7859,2.5,TX,548,42494,86655,1658,6079
San Antonio,Texas,33.1,721405,748419,1469824,109089,208046,2.93,TX,20752,937607,1240092,53933,119542
San Bernardino,California,28.5,108671,107466,216137,7741,55135,3.55,CA,4520,136214,123174,12981,36393
San Buenaventura,California,37.7,53932,55785,109717,5980,18025,2.68,CA,2808,38463,95139,6547,1300
San Clemente,California,45.2,34076,31456,65532,3970,8109,2.64,CA,,10421,58849,4296,251
San Diego,California,34.5,693826,701081,1394907,92489,373842,2.73,CA,16496,425414,949388,267222,111650
San Francisco,California,38.3,439752,425064,864816,26276,297199,2.37,CA,8997,132114,442155,324034,53270
San Jose,California,36.5,518317,508602,1026919,27269,401493,3.13,CA,13776,331232,442798,385198,41721
San Juan,Puerto Rico,41.4,155408,186829,342237,,,,PR,4031,335559,,2452,
San Leandro,California,41.8,43032,47679,90711,4111,34293,2.79,CA,1540,26894,40182,34019,11100
San Marcos,California,35.4,45246,47688,92934,5189,21558,3.13,CA,821,35164,72061,11519,4447
San Mateo,California,39.3,50966,52558,103524,2730,34957,2.64,CA,682,23151,62656,30573,2880
San Ramon,California,39.1,39221,36911,76132,2855,29691,3.09,CA,609,5449,37057,38970,2734
San Tan Valley,Arizona,31.3,40429,42368,82797,4300,5757,3.44,AZ,3941,18733,75429,1378,2027
Sandy,Utah,34.6,46923,46689,93612,3451,6691,3.22,UT,507,6832,85130,5657,522
Sandy Springs,Georgia,35.4,48570,56777,105347,3015,19837,2.4,GA,1574,13670,78835,7909,15420
Santa Ana,California,30.8,167503,167920,335423,4735,152999,4.58,CA,4838,262436,163096,37651,5813
Santa Barbara,California,37.8,45068,46784,91852,4518,19441,2.51,CA,1560,31102,73659,4964,2013
Santa Clara,California,35.2,63278,62938,126216,4426,52281,2.75,CA,1354,22402,55847,58360,4580
Santa Clarita,California,38.1,90192,92175,182367,8537,40666,3.02,CA,4441,56944,144949,23168,9223
Santa Fe,New Mexico,44.1,40601,43511,84112,5083,13824,2.41,NM,2960,45884,75494,1878,1284
Santa Maria,California,30.1,53320,51762,105082,2876,39192,3.83,CA,1575,81551,90403,5058,1237
Santa Monica,California,40.6,46732,46487,93219,2008,24448,2,CA,2197,14973,70365,13283,9663
Santa Rosa,California,37.9,86840,88149,174989,9101,33015,2.7,CA,8859,54578,138506,13496,7157
Savannah,Georgia,30.3,69389,76295,145684,9717,10355,2.57,GA,2116,9734,57690,5366,82307
Schaumburg,Illinois,36.9,35971,39840,75811,2019,24614,2.72,IL,633,12545,43688,21571,2071
Schenectady,New York,36.7,32398,32901,65299,3388,10961,2.82,NY,1059,5957,40278,5140,15640
Scottsdale,Arizona,46.9,115712,121132,236844,16798,27207,2.17,AZ,7003,24766,205512,11555,5279
Scranton,Pennsylvania,38.5,37975,39137,77112,5059,8069,2.39,PA,,11301,66875,4722,6256
Seattle,Washington,35.5,345659,338784,684443,29364,119840,2.13,WA,12804,43060,511401,121507,61974
Shawnee,Kansas,40.1,32313,32745,65058,3575,4136,2.64,KS,485,4864,55883,3093,7296
Shreveport,Louisiana,35.2,93138,103856,196994,14287,5658,2.53,LA,1647,5081,79319,4033,112923
Silver Spring,Maryland,33.8,40601,41862,82463,1562,30908,2.6,MD,1084,25924,37756,8841,21330
Simi Valley,California,39,63243,63523,126766,6063,23260,3.13,CA,2474,34032,107898,14984,2378
Sioux City,Iowa,34.3,38827,43949,82776,4093,7471,2.57,IA,1956,15602,70513,3400,3994
Sioux Falls,South Dakota,34.6,86596,84934,171530,8658,12934,2.38,SD,4623,9388,149298,4689,10904
Skokie,Illinois,43.4,31382,33437,64819,1066,27424,2.78,IL,,6590,40642,20272,4937
Somerville,Massachusetts,31,41028,39306,80334,2103,22292,2.43,MA,374,8790,62927,9498,7140
South Bend,Indiana,32.4,50483,53274,103757,3708,8779,2.72,IN,411,16462,71391,1788,30005
South Gate,California,32.5,47758,48641,96399,724,40571,3.97,CA,618,91312,55444,971,1615
South Jordan,Utah,33.8,33669,32970,66639,2595,6142,3.61,UT,,4672,59046,2487,
South San Francisco,California,39.4,34177,33094,67271,1839,27528,3.33,CA,535,29173,28135,23008,2327
Southfield,Michigan,41.6,31369,41808,73177,4035,4011,2.27,MI,983,573,18296,1345,54200
Sparks,Nevada,36.1,47780,48318,96098,7315,15690,2.63,NV,2019,29159,78737,7915,4226
Spokane,Washington,36.6,102756,110511,213267,18044,13253,2.34,WA,7192,13365,193143,9059,10045
Spokane Valley,Washington,36,49933,44975,94908,7984,4199,2.39,WA,2473,5110,91125,1336,1192
Spring Hill,Florida,45.1,48295,54902,103197,9737,7893,2.58,FL,1254,15838,91742,2409,7689
Spring Valley,Nevada,37,96808,97147,193955,10644,61072,2.79,NV,2215,40374,111763,45059,29031
Springdale,Arkansas,31.8,36840,43614,80454,3397,19969,3.04,AR,547,30200,56843,1422,1859
Springfield,Illinois,38.8,55639,62170,117809,7525,4264,2.22,IL,1602,2738,90935,3871,25327
Springfield,Massachusetts,31.8,74744,79592,154336,5723,16226,2.81,MA,2087,69209,97171,5606,35284
Springfield,Missouri,34.1,81057,85741,166798,12291,7765,2.12,MO,2777,7100,151686,5725,10026
Stamford,Connecticut,35.4,64941,63936,128877,2269,44003,2.7,CT,1416,33197,85620,11013,24329
Sterling Heights,Michigan,39.6,64985,67077,132062,6970,34313,2.66,MI,,2811,112743,12264,8054
Stockton,California,32.5,150976,154674,305650,12822,79583,3.16,CA,19834,128216,170878,76859,41161
Suffolk,Virginia,38.2,43048,45113,88161,10114,2829,2.72,VA,504,3539,46458,2248,39107
Sugar Land,Texas,42.1,43889,44240,88129,4377,31169,2.95,TX,,7835,44555,33469,8993
Sunnyvale,California,35.7,79480,72280,151760,3900,71441,2.74,CA,1179,25638,71463,69472,4210
Sunrise,Florida,37.7,41471,51235,92706,4108,38209,2.98,FL,,29163,54976,3501,33951
Sunrise Manor,Nevada,32.5,93505,99103,192608,10663,56530,3.25,NV,3962,99838,109960,16165,29483
Surprise,Arizona,39.4,62875,65567,128442,11109,9929,2.9,AZ,1883,25366,115419,3153,9079
Syracuse,New York,30.3,69462,74690,144152,5845,17733,2.39,NY,3606,13368,88679,9386,46026
Tacoma,Washington,37.7,100914,107036,207950,19040,31863,2.48,WA,5549,25764,149859,26909,30914
Tallahassee,Florida,26.2,89390,100504,189894,9575,16720,2.38,FL,1368,13538,112800,10035,69135
Tampa,Florida,35.3,175517,193511,369028,20636,58795,2.47,FL,2915,95154,257552,15814,92156
Temecula,California,34.2,54407,57619,112026,7587,18884,3.34,CA,2236,36246,85130,14532,5698
Tempe,Arizona,28.8,91350,84476,175826,7058,26620,2.44,AZ,4636,44404,130346,17338,11293
Temple,Texas,33.6,33512,38785,72297,7333,3968,2.59,TX,1615,21372,54698,1781,14747
The Villages,Florida,70.5,,,72590,15231,4034,,FL,,1066,72211,,331
The Woodlands,Texas,38.8,56083,63061,119144,8351,21188,2.93,TX,2427,19574,106202,8828,6420
Thornton,Colorado,33.1,65482,67977,133459,7261,17949,2.97,CO,2967,49241,119264,7034,4569
Thousand Oaks,California,44.8,65113,64216,129329,6323,25330,2.79,CA,2690,26754,108375,16134,3229
Toledo,Ohio,36.1,135455,144323,279778,15286,9257,2.29,OH,3942,23614,188325,6850,85552
Toms River,New Jersey,43.7,43864,43886,87750,5042,6852,2.71,NJ,251,10267,79538,4691,3703
Topeka,Kansas,37.1,60879,66378,127257,9608,6711,2.32,KS,4804,18640,108035,3127,15030
Torrance,California,41.2,73209,75259,148468,8459,43096,2.7,CA,3638,25699,80498,54317,5906
Town 'n' Country,Florida,38.1,39410,39586,78996,4534,22135,2.61,FL,1622,37944,64441,3347,9575
Tracy,California,35.5,43156,43937,87093,3025,25410,3.42,CA,2120,32810,58041,16856,5241
Trenton,New Jersey,33.3,42581,41650,84231,2604,20428,3.04,NJ,98,30613,37683,1437,43471
Troy,Michigan,43.3,42371,40905,83276,2975,21004,2.59,MI,1677,2400,56175,22721,5294
Tucson,Arizona,33.6,264893,266781,531674,38182,82220,2.45,AZ,24409,231025,404342,24689,33900
Tulsa,Oklahoma,35,197437,205654,403091,24672,43751,2.37,OK,42129,61217,279127,16318,72643
Turlock,California,36.2,33190,39103,72293,3397,14686,2.76,CA,1187,23559,59308,5232,2307
Tuscaloosa,Alabama,29.1,47293,51045,98338,3647,4706,2.67,AL,261,2475,52603,2733,42331
Tustin,California,33.4,39511,41052,80563,2434,25034,3.27,CA,538,33998,39660,16074,2954
Tyler,Texas,33.9,50422,53283,103705,4813,8225,2.59,TX,1057,21536,72728,2543,26156
Union City,California,38.5,38599,35911,74510,1440,32752,3.46,CA,243,13207,16845,44849,5508
Union City,New Jersey,35.4,35376,33773,69149,705,40553,2.85,NJ,545,53174,50031,4044,4686
Upland,California,39.7,36226,40221,76447,2898,16552,2.77,CA,1068,30787,46704,9182,5717
Urban Honolulu,Hawaii,41.4,176807,175959,352766,23213,101312,2.69,HI,5592,24586,110508,240978,11781
Vacaville,California,35.8,50091,46703,96794,9064,10577,2.9,CA,3140,23395,66825,9273,18023
Vallejo,California,37.8,58379,62890,121269,8103,30592,2.83,CA,1671,28977,56169,34753,26778
Vancouver,Washington,37.2,82958,89895,172853,12391,21748,2.49,WA,4541,23184,149863,10882,7520
Victoria,Texas,35.8,32290,35291,67581,5000,4480,2.7,TX,,34409,58798,2032,6058
Victorville,California,30.6,60989,61247,122236,7484,21959,3.47,CA,5305,60569,86648,7755,26747
Virginia Beach,Virginia,35.4,222684,230061,452745,54995,38360,2.61,VA,4590,36309,324924,38715,99948
Visalia,California,32.6,63695,66399,130094,5547,20779,3.11,CA,2113,63482,107322,11523,2525
Vista,California,29.3,50680,50204,100884,4957,23271,3.52,CA,,49524,83529,7189,5164
Waco,Texas,29.3,63452,68890,132342,10716,14235,2.57,TX,794,40585,96958,4230,29883
Waldorf,Maryland,33.6,35640,39872,75512,6932,5954,2.69,MD,1918,4810,26788,4100,47334
Walnut Creek,California,47.6,31994,36912,68906,4977,13624,2.22,CA,,5212,57064,10831,1705
Warner Robins,Georgia,31.4,35093,38909,74002,6974,3210,2.5,GA,1309,5378,42306,2723,29307
Warren,Michigan,43.2,64063,71293,135356,7806,18822,2.45,MI,1516,3210,96357,12156,29391
Warwick,Rhode Island,42.6,39289,42409,81698,5799,5318,2.4,RI,,4723,76999,2685,1212
Washington,District of Columbia,33.8,319705,352523,672228,25963,95117,2.24,DC,6130,71129,285402,35072,328786
Waterbury,Connecticut,36.2,52235,56572,108807,3493,19967,2.71,CT,492,38222,69075,4080,26972
Waterloo,Iowa,37.2,34488,33969,68457,4800,5082,2.42,IA,467,4961,51252,1636,11815
Waukegan,Illinois,32.3,45514,42833,88347,3404,30997,2.92,IL,677,54214,65629,4933,11697
Waukesha,Wisconsin,35.8,36263,35713,71976,3116,4982,2.35,WI,481,9713,66757,2904,1923
West Covina,California,39.8,51629,56860,108489,3800,37038,3.56,CA,518,58907,48046,32716,3693
West Jordan,Utah,30.8,57898,54044,111942,3577,11492,3.46,UT,1211,21315,100150,3539,3179
West Palm Beach,Florida,39.6,49262,57520,106782,4917,30675,2.53,FL,406,26132,60648,3191,39226
West Valley City,Utah,30.7,68235,67989,136224,4880,30712,3.81,UT,4851,44080,89145,9550,3222
Westland,Michigan,39.9,37742,44253,81995,4756,6429,2.41,MI,429,2827,60576,4843,16422
Westminster,California,42.9,45538,46573,92111,3435,42227,3.27,CA,1022,19111,37593,46560,2270
Westminster,Colorado,37.8,54866,58251,113117,6512,11361,2.63,CO,1444,23355,100084,8668,3228
Weston,Florida,38.6,32956,36991,69947,1507,30876,3.34,FL,128,36687,61021,4130,3697
Whittier,California,36.1,44397,43039,87436,2790,17145,3.11,CA,680,61249,49388,3503,1262
Wichita,Kansas,34.6,192354,197601,389955,23978,40270,2.56,KS,8791,65162,305910,25210,52592
Wichita Falls,Texas,34,55775,48934,104709,7800,9855,2.41,TX,1503,23061,82860,3688,14529
Wilmington,Delaware,36.4,32680,39277,71957,3063,3336,2.45,DE,414,5516,23743,1193,44182
Wilmington,North Carolina,35.5,52346,63601,115947,5908,7401,2.24,NC,742,6811,89270,3152,23578
Winston-Salem,North Carolina,34.7,112520,128712,241232,14521,24302,2.47,NC,1415,38321,139301,6484,87480
Woodbury,Minnesota,37.7,31982,35868,67850,2732,9477,2.72,MN,,3258,56216,7758,6054
Worcester,Massachusetts,34.9,90951,93855,184806,9408,36907,2.43,MA,1917,39000,131898,15932,27491
Wyoming,Michigan,32.8,35967,39310,75277,3447,8612,2.65,MI,2444,15325,58989,3227,8839
Yakima,Washington,34,45147,48553,93700,4705,15717,2.74,WA,2042,44172,79286,2248,924
Yonkers,New York,38,96580,104538,201118,4801,61247,2.8,NY,1112,73608,129492,13981,38731
Yorba Linda,California,45.5,31960,36006,67966,3171,15532,3,CA,211,10599,49980,17616,1326
Youngs,Ohio,37.5,30758,33851,64609,3620,1058,2.22,OH,875,7564,33031,247,31725
